placename,streetaddress,City,inspectdate,latitude,longitude
Fort Myers Beach Lap Pool,2600 Oak Street,Fort Myers Beach,9/20/18,26.4486904,-81.9407566
Fort Myers Beach Family Pool,2600 Oak Street,Fort Myers Beach,9/20/18,26.4486904,-81.9407566
Kahlua Beach Club Pool,4950 Estero Boulevard,Fort Myers Beach,4/25/19,26.4346927,-81.9193948
Kahlua Beach Club Spa,4950 Estero Boulevard,Fort Myers Beach,4/25/19,26.4346927,-81.9193948
Captiva Island Inn,11509 Andy Rosse Lane,Captiva,4/22/19,26.5217003,-82.1904248
Fountain View Spa,18961 N Tamiami Trail,North Fort Myers,12/18/18,26.74195432,-81.91606387
The Lakes At Three Oaks Spa,9160 Pittsburgh Boulevard,Fort Myers,8/9/18,26.4786101,-81.80131
Cypress Bend RV Resort Spa,8631 Red Cedar Drive,Estero,10/3/18,26.4476953,-81.8102298
Shamron Beach Condo Pool,7650 Estero Boulevard,Fort Myers Beach,10/4/18,26.4076041,-81.8974288
Estero Bayside Spa,22628 Island Pines Way,Fort Myers Beach,10/4/18,26.417649,-81.8972692
Beach Club Colony Condo Pool,642-702 Joel Boulevard,Lehigh Acres,10/8/18,26.62316372,-81.59780465
Baycrest At Pelican Landing Pool,25201 Galashields Circle,Bonita Springs,10/9/18,26.37085,-81.8102151
Seville Apartments Pool,7331 Pinnacle Pines Drive,Fort Myers,7/26/18,26.56557446,-81.878578
Terraverde Country Club Spa,17000 Terraverde Circle,Fort Myers,7/26/18,26.49117031,-81.85820326
Palm Vista Apartments Pool,3726 Central Avenue,Fort Myers,7/27/18,26.607641,-81.86490261
Avalon Preserve Spa,11900 Avalon Preserve Boulevard,Fort Myers,7/26/18,26.5081116,-81.8994969
Shady Acres Travel Park-SPA,19370 S Tamiami Trail,Fort Myers,7/25/18,26.4567636,-81.8314449
Bobbie Noonan's Child Care,1217 Cape Coral Parkway W,Cape Coral,7/19/18,26.56304,-81.9997567
North Captiva Island Club Pool,4421 Bartlett Parkway,Captiva,8/15/18,26.5982708,-82.2185992
North Captiva Island Club Pool 2,4421 Bartlett Parkway,Captiva,8/15/18,26.5982708,-82.2185992
Cypress Cove Commons Spa,12620 Wildcat Cove Circle,Estero,8/15/18,26.4424909,-81.7450623
Chabad Lubavitch Pool,5620 Winkler Road,Fort Myers,8/14/18,26.56951492,-81.89999808
Corkscrew Shores Pool,14700  Corkscrewshores  Parkway,Estero,12/11/18,26.41970239,-81.72340607
Corkscrew Shores Spa,14700  Corkscrew Shores Parkway,Estero,12/11/18,26.41970239,-81.72340607
Champions Green Condo Pool,11990 Champions Green Way,Fort Myers,7/26/18,26.57728201,-81.75819592
Tropical Sands Resort Spa,7785 Estero Boulevard,Fort Myers Beach,7/27/18,26.4079362,-81.8961075
Garden Lakes Spa,10120 Colonial Country Club,Fort Myers,12/17/18,26.5859774,-81.7876777
Brown Academy Pool,12211 Towne Lake Drive,Fort Myers,12/17/18,26.5666779,-81.7500621
Bella Lago @ Bay Beach Spa,7451 Bella Lago Drive,Fort Myers Beach,8/14/18,26.4106508,-81.8985689
Bella Lago at Bay Beach Pool,7451 Bella Lago Drive,Fort Myers Beach,8/14/18,26.4106508,-81.8985689
Porta Vecchio Pool @ Mediterra,17065 Porta Vecchio Way,Bonita Springs,6/27/18,26.31787404,-81.78385549
Island Park Woods Pool,6127 Lake Front Drive,Fort Myers,8/9/18,26.4887126,-81.8578705
Lake Arrowhead M/V Spa,3122 Old Farmhouse  Road,North Fort Myers,12/17/18,26.7091155,-81.8953658
Windsor Garden Apartments Pool,3855 Broadway,Fort Myers,12/27/18,26.6057845,-81.8680237
The Brittany Pool,4050 Winkler Avenue Extension,Fort Myers,12/27/18,26.63435712,-81.83915152
Kelly Greens Clubhouse Spa,12290 Kelly Sands Way,Fort Myers,7/30/18,26.50108578,-81.95760076
Villa Palmeras Spa,21501 Cascina  Drive,Estero,7/31/18,26.4264234,-81.7876463
Copper Oaks Estates Pool,10206 South Golden Elm Drive,Estero,8/1/18,26.438646,-81.7876079
Windward Way Condo Spa,15770 Windward Way Circle,Fort Myers,8/2/18,26.5118506,-81.9540875
Royal Beach Club Spa,800 Estero Boulevard,Fort Myers Beach,8/9/18,26.4543246,-81.9582955
The Lakes At Three Oaks Spa,9160 Pittsburgh Boulevard,Fort Myers,8/2/18,26.4786101,-81.80131
Mangrove Bay Pool,950 Moody Road,North Fort Myers,11/26/18,26.6587977,-81.8982993
Cypress Trail RV Resort - Main Clubhouse- Pool,5468 Tice Street,Fort Myers,1/10/19,26.66712981,-81.78670755
Breckenridge Phase III Pool,4201 Dillon Lane,Estero,12/3/18,26.41970239,-81.72340607
Bayshore Commons Pool,15111 Caspian Tern Court,North Fort Myers,9/5/18,26.694378,-81.851356
Shipwreck Motel Pool 2 (Bayside),309 Old San Carlos Boulevard,Fort Myers Beach,9/6/18,26.45482137,-81.9555148
Mariner's Boathouse Spa,7630 Estero Boulevard,Fort Myers Beach,8/29/18,26.4080775,-81.8977075
The Neptune Pool,2310 Estero Boulevard,Fort Myers Beach,4/30/19,26.4489793,-81.945357
Casa Bella Condo Pool,16381 Dublin Circle,Fort Myers,5/7/19,26.5085202,-81.948577
Golf View Motel Pool,3523 Cleveland,Fort Myers,11/27/18,26.6132623,-81.8713666
Dolphin Run Apartments Pool,2310 Maple Avenue,Fort Myers,11/14/18,26.62374997,-81.86592004
Greenbriar Village Pool,5860 Trailwinds Drive,Fort Myers,2/27/19,26.5709226,-81.857639
Caribbean Beach Club Pool,7600 Estero Boulevard,Fort Myers Beach,4/12/19,26.4085528,-81.8980798
Pine Key Spa,1095 Hancock Creek Boulevard S,Cape Coral,7/25/18,26.6938848,-81.9452399
Pine Key Pool,1095 Hancock Creek Boulevard S,Cape Coral,7/25/18,26.6938848,-81.9452399
Greenbriar Village Pool,5860 Trailwinds Drive,Fort Myers,10/1/18,26.5709226,-81.857639
Village Creek Condo Spa,2825 Winkler Avenue,Fort Myers,12/12/18,26.6054615,-81.8535138
Cobblestone On The Lake Pool,4400 Cortina Circle,Fort Myers,12/10/18,26.63435712,-81.83915152
St. Tropez Spa,2743 First Street,Fort Myers,12/10/18,26.6518419,-81.8585944
Hamlet Homeowners Assoc Pool,1440 Park Shore Circle,Fort Myers,11/6/18,26.6012367,-81.8872435
Bermuda Ridge Spa,28741 Diamond Drive,Bonita Springs,3/27/19,26.3179165,-81.810517
Villages At Country Creek Spa,21180 Country Creek Drive,Estero,12/4/18,26.4336632,-81.7946478
Bermuda Isles & Cays Swim & Racquet Club Spa,3876 Essex Place,Bonita Springs,12/4/18,26.3228772,-81.8164577
Prosperity Point West Spa,3380 Sunset Key Circle,Punta Gorda,11/30/18,26.76376084,-82.0586388
San Marino At Miromar Lakes Spa,19616 Marinus Street,Fort Myers,12/5/18,26.5161523,-81.6965091
Ravenna Spa,11050 Via Tuscany Lane,Fort Myers,12/4/18,26.5161523,-81.6965091
Riverwalk Apartments Pool,2515 First Street,Fort Myers,11/20/18,26.6475067,-81.8654304
Golf Meadow Apartments Pool,1852 Golf View Avenue,Fort Myers,11/27/18,26.6101436,-81.8745963
Pebble Court Apartments Pool,2974 Jackson Street,Fort Myers,11/27/18,26.6230231,-81.866408
Stella Del Mar Pool,15072 Stella Del Mar Lane,Fort Myers,12/5/18,26.5221605,-81.952183
Brechin Apartments Pool,1915 Maravilla Avenue,Fort Myers,11/28/18,26.615631,-81.8737295
Ravenna Pool,11050 Via Tuscany Lane,Fort Myers,12/4/18,26.5161523,-81.6965091
Brookdale- Fort Myers- Cypress Lake Pool,7460 Lake Breeze Drive,Fort Myers,2/25/19,26.5468426,-81.8823841
Laurel Oaks Pool,5640 Grey Fox Run,Fort Myers,11/6/18,26.513892,-81.8601205
Mirage Bay Luxury Apartments Pool,14401 Metro Parkway,Fort Myers,11/6/18,26.53434213,-81.85254278
Harbor Lakes Clubhouse At Bonita Bay Pool,27010 Lake Harbor Court,Bonita Springs,11/2/18,26.3451796,-81.8206642
Wild Pines of Bonita Bay Spa,3600 Wild Pines Drive,Bonita Springs,11/1/18,26.3494705,-81.8133661
Harbor Lakes Clubhouse At Bonita Bay Spa,27010 Lake Harbor Court,Bonita Springs,11/2/18,26.3451796,-81.8206642
Mystic Ridge @ Pelican Landing Pool,25190 Goldcrest Drive,Bonita Springs,11/1/18,26.3724012,-81.8270478
The Reef Phase II Pool,19655  Three Oaks Parkway,Fort Myers,11/1/18,26.47224291,-81.81220135
Sunset Towers Apartments Condo Pool,4803 Sunset Court,Cape Coral,2/20/19,26.5624381,-81.9638139
Hidden Harbor Lodge Pool,17320 Hidden Estates Circle,Fort Myers,2/15/19,26.4882784,-81.8538269
The Villas of Bethany Trace Pool,401 Bethany Village Circle,Lehigh Acres,2/19/19,26.58779624,-81.62682534
La Quinta Inn & Suites Pool,9521 Marketplace Road,Fort Myers,11/13/18,26.5496772,-81.7974817
Dolphin Run Apartments Pool,2310 Maple Avenue,Fort Myers,11/6/18,26.62374997,-81.86592004
Orange Grove Home & RV Park Pool,647 Nuna Avenue,Fort Myers,11/15/18,26.6647311,-81.8173398
Mission Monterey Pool,1455 Thistledown Way,Fort Myers,11/6/18,26.6034558,-81.8854867
Wyndham Bay Pool At The Legends,14561 Sherbrook Place,Fort Myers,11/19/18,26.5281102,-81.818684
The Neptune Pool (1),2310 Estero Boulevard,Fort Myers Beach,11/7/18,26.4489793,-81.945357
Fairway Dunes Pool,10030 Fairway Dunes Lane,Bonita Springs,11/20/18,26.3688377,-81.7870343
Fairway Dunes Pool,10030 Fairway Dunes Lane,Bonita Springs,11/19/18,26.3688377,-81.7870343
Chadwyck Square Pool,25121 Divot Drive,Bonita Springs,10/30/18,26.37240923,-81.77903226
Bella Terra Pool 1,20070 Bella Terra Boulevard,Estero,11/19/18,26.4490031,-81.7311047
Daniels Park Pool,14000 Dan Park Loop,Fort Myers,11/9/18,26.5423319,-81.812862
Mystic Ridge @ Pelican Landing Spa,25190 Goldcrest Drive,Bonita Springs,11/14/18,26.3724012,-81.8270478
Mystic Ridge @ Pelican Landing Spa,25190 Goldcrest Drive,Bonita Springs,11/1/18,26.3724012,-81.8270478
Southbridge At Pelican Landing Spa,3401 Ballybridge Circle,Bonita Springs,11/8/18,26.3752043,-81.8111005
Bella Terra Spa 1,20070 Bella Terra Boulevard,Estero,11/19/18,26.4490031,-81.7311047
Palm Villas Apartments Pool,8372 Beacon Boulevard,Fort Myers,10/16/18,26.5699843,-81.8661928
Waterford Condo At Bonita Bay Pool I,3347 Wild Rose Court,Bonita Springs,11/14/18,26.3552544,-81.8100572
Arbor Strand at Bonita Bay Pool,27483 Arbor Strand Drive,Bonita Springs,11/15/18,26.34148609,-81.81703593
The Lakes At Three Oaks Spa,9160 Pittsburgh Boulevard,Fort Myers,8/3/18,26.4786101,-81.80131
Aspen Indian Creek Iroquois Pool,17340 San Carlos Boulevard,Fort Myers Beach,9/26/18,26.4900728,-81.9482163
Cape Coral Apartments Pool,827 SE 46th Lane,Cape Coral,11/29/18,26.5658156,-81.9564096
MUSA At Daniels Spa,13501 Eagle Ridge Drive,Fort Myers,12/4/18,26.5443994,-81.8292034
MUSA At Daniels Pool,13501 Eagle Ridge Drive,Fort Myers,12/4/18,26.5443994,-81.8292034
Best Western Airport Inn Spa,8955 Daniels Parkway,Fort Myers,11/29/18,26.5486451,-81.8067753
Champions Green Condo Spa,11990 Champions Green Way,Fort Myers,7/26/18,26.57728201,-81.75819592
Kay's Apartments Pool,1640 Orchid Boulevard,Cape Coral,11/27/18,26.5709951,-81.9417004
Tropical Garden Apartments Pool,4030 Coronado Parkway SW,Cape Coral,11/27/18,26.5765863,-81.9454333
Windsor Manor Condo Pool,828 Victoria Drive,Cape Coral,11/29/18,26.5583322,-81.9556804
Best Western Airport Inn Pool,8955 Daniels Parkway,Fort Myers,11/29/18,26.5486451,-81.8067753
Brantley Pines Apartments Pool,1801 Brantley Road,Fort Myers,10/2/18,26.5630775,-81.8765101
Raintree R.V. Resort Spa,19250 N Tamiami Trail,Fort Myers,10/4/18,26.7443286,-81.9142603
Davis Woods Condo Pool,16881 Davis Road,Fort Myers,12/6/18,26.4965752,-81.9763297
Harbor Place Condo Pool,14803 Laguna Drive,Fort Myers,12/6/18,26.5273751,-81.953421
Oak Hammock At The Brooks Spa,10381 Autumn Breeze Drive,Bonita Springs,3/19/19,26.4116949,-81.7760732
The Reserve At Pelican Landing Pool,24401 Reserve Court,Bonita Springs,3/19/19,26.3845541,-81.8232562
The Reserve @ Pelican Landing Spa,24401 Reserve Court,Bonita Springs,3/19/19,26.3845541,-81.8232562
Mystic Ridge @ Pelican Landing Spa,25190 Goldcrest Drive,Bonita Springs,3/19/19,26.3724012,-81.8270478
Meadows of Estero Spa,21516 Baccarat Lane,Estero,3/4/19,26.4267456,-81.8152543
Southbridge At Pelican Landing Spa,3401 Ballybridge Circle,Bonita Springs,3/19/19,26.3752043,-81.8111005
Laguna Lakes Pool,15300 Lakes of Laguna Boulevard,Fort Myers,3/21/19,26.5181427,-81.9068003
Forest Creek Villas Pool,10968 Leitner Creek Drive,Bonita Springs,3/28/19,26.3448128,-81.7723999
Raintree R.V. Resort Pool,19250 N Tamiami Trail,North Fort Myers,3/25/19,26.7443286,-81.9142603
Tara Woods Pool,19376 N Tamiami Trail,Fort Myers,3/25/19,26.7488652,-81.9108082
Tara Woods Spa,19376 N Tamiami Trail,North Fort Myers,3/25/19,26.7488652,-81.9108082
Oakwood Villas Spa At Bonita Bay,27170 Oakwood Lake Drive,Bonita Springs,2/26/19,26.3445757,-81.815512
Bonita Fairways Clubhouse Spa,26771 Bonita Fairways Drive,Bonita Springs,2/27/19,26.3491484,-81.7899582
The Hamptons at Bonita Bay Spa,26964 Wyndhurst Court,Bonita Springs,2/27/19,26.34729853,-81.83090396
Village Creek Condo Spa,2825 Winkler Avenue,Fort Myers,3/18/19,26.6054615,-81.8535138
Westchase Apartments Wading Pool,3810 Metro Parkway,Fort Myers,3/25/19,26.60770968,-81.85273629
Palm Villas Apartments Pool,8372 Beacon Boulevard,Fort Myers,3/26/19,26.5699843,-81.8661928
Oak Crest Villas I Pool,5371 Glenlivet Road,Fort Myers,3/25/19,26.566565,-81.8691473
Ocean Harbor Spa 1 (Left),4741 Estero Boulevard,Fort Myers Beach,4/2/19,26.4383,-81.920752
Ocean Harbor Spa 2 (Right),4741 Estero Boulevard,Fort Myers Beach,4/2/19,26.4383,-81.920752
Bellavista @ Miromar Lakes Spa,10100 Bellavista Circle,Fort Myers,3/26/19,26.4787813,-81.7834438
Colonial Resort Motel Apts. Swimming Pool,4913 Vincennes Court,Cape Coral,4/2/19,26.5592654,-81.9515892
R & L Ambassador Suites Pool,6950 Estero Boulevard,Fort Myers Beach,3/27/19,26.4152074,-81.9017198
Bellagio Gardens Pool,4921-5007 SW 16th Place,Cape Coral,4/1/19,26.55705217,-82.00768268
The Enclave At Rapallo Pool,8651 Piazza Del Lago Circle,Estero,3/27/19,26.41096756,-81.80791592
Harbor Place Condo Spa,14803 Laguna Drive,Fort Myers,12/6/18,26.5273751,-81.953421
Fairway Bend Village Pool,8634 Fairway Bend Drive,Fort Myers,2/28/19,26.4612244,-81.8116691
Mariner's Boathouse Spa,7630 Estero Boulevard,Fort Myers Beach,2/28/19,26.4080775,-81.8977075
Caribbean Beach Club Spa,7600 Estero Boulevard,Fort Myers Beach,2/28/19,26.4085528,-81.8980798
Lago Del Sol Clubhouse Spa,10770 Clear Lake Loop,Fort Myers,1/10/19,26.51974676,-81.93396461
Punta Rassa Condo Spa,15008 Punta Rassa Road,Fort Myers,1/11/19,26.48558187,-82.00961141
Mastique Pool,12651 Mastique Beach Boulevard,Fort Myers,1/9/19,26.4884434,-81.9645423
Mastique Spa,12651 Mastique Beach Boulevard,Fort Myers,1/9/19,26.4884434,-81.9645423
Cedar Creek Spa,8880 Creek Run Drive,Bonita Springs,3/5/19,26.36563168,-81.80666251
Caribbean Beach Club Pool,7600 Estero Boulevard,Fort Myers Beach,2/28/19,26.4085528,-81.8980798
Tip Top Isles Waterfront Resort & Marina Pool,17863 San Carlos Boulevard,Fort Myers Beach,3/5/19,26.4818498,-81.9473599
Horizon Village Spa,9200 Littleton Road,North Fort Myers,3/4/19,26.6992311,-81.91275
Compass Pointe Condo Pool,13161 Chesterson Avenue,Fort Myers,3/5/19,26.55068158,-81.90667183
Westminster Community Center Spa,2001 Oxford Ridge Circle,Lehigh Acres,3/4/19,26.604133,-81.7317517
Hyatt Place Pool - Fort Myers,2600 Champion Ring Road,Fort Myers,2/22/19,26.6328268,-81.8017784
Westminster Community Center Spa,2001 Oxford Ridge Circle,Lehigh Acres,2/28/19,26.604133,-81.7317517
Coconut Shores Clubhouse Spa,23291 Coconut Island Drive,Estero,10/11/18,26.3996904,-81.8165161
Coconut Shores Clubhouse Pool,23291 Coconut Island Drive,Estero,10/11/18,26.3996904,-81.8165161
The Reef Phase II Pool,19655  Three Oaks Parkway,Fort Myers,10/11/18,26.47224291,-81.81220135
The Fountains at Forestwood Pool,1735 Brantley Road,Fort Myers,10/9/18,26.562836,-81.8796479
Reflection Cove Clubhouse Spa,7861 Reflection Cove Drive,Fort Myers,10/9/18,26.54278476,-81.88524722
Gasparilla Inn Spa,451 Gilchrist Avenue,Boca Grande,5/23/19,26.77018807,-82.25244651
Island House Swimming Pool,570 Gulf Boulevard,Boca Grande,5/22/19,26.7293249,-82.2630466
Castella At The Colony Spa,24021 Via Castella,Bonita Springs,5/15/19,26.3884925,-81.8368266
Palm Villas Apartments Pool,8372 Beacon Boulevard,Fort Myers,11/2/18,26.5699843,-81.8661928
Sunrise Towers Apartments Pool,2825 Central Avenue,Fort Myers,4/25/19,26.62592258,-81.86406782
Olde Hickory Verandas Pool,14500 Hickory Hill Court,Fort Myers,5/8/19,26.53058539,-81.80432111
Bayside Village of Sanibel Pool,557 N Yachtsman Drive,Sanibel,10/4/18,26.4502178,-82.0286225
Bayside Village of Sanibel Pool,557 N Yachtsman Drive,Sanibel,10/3/18,26.4502178,-82.0286225
Bayshore Mobile Home Village Pool,15711 Shoreline Boulevard,North Fort Myers,10/3/18,26.6943904,-81.8637676
Estero Bayside Spa,22628 Island Pines Way,Fort Myers Beach,10/3/18,26.417649,-81.8972692
Manatee Bay Inn Pool,932 Third Street,Fort Myers Beach,10/3/18,26.455524,-81.9560683
Cooks Island House Motel Pool,701 Estero Boulevard,Fort Myers Beach,10/3/18,26.4560209,-81.9594221
Vista Palms Pool,10276 Stafford Creek Boulevard,Lehigh Acres,10/1/18,26.59411277,-81.64273255
The Villas of Bethany Trace Pool,401 Bethany Village Circle,Lehigh Acres,10/1/18,26.58779624,-81.62682534
Beacon Square Phase I Pool,10553 Putnam Court,Lehigh Acres,10/1/18,26.5911857,-81.6422248
Caloosa Lakes The Grove Clubhouse Pool,10701 Marble Brook Boulevard,Lehigh Acres,10/1/18,26.5906364,-81.6356282
Caloosa Lakes The Grove Clubhouse Pool,10701 Marble Brook Boulevard,Lehigh Acres,10/5/18,26.5906364,-81.6356282
Capeway Condo Pool,4906 Victoria Drive,Cape Coral,9/27/18,26.5599868,-81.9563142
Mystic Ridge @ Pelican Landing Spa,25190 Goldcrest Drive,Bonita Springs,10/8/18,26.3724012,-81.8270478
Mystic Ridge @ Pelican Landing Pool,25190 Goldcrest Drive,Bonita Springs,10/8/18,26.3724012,-81.8270478
Sandpiper Greens at Pelican Landing Spa,25152 Sandpiper Greens Court,Bonita Springs,10/8/18,26.3709506,-81.82586861
The Pines At Eagle Ridge Spa,7170 Golden Eagle Court,Fort Myers,5/9/19,26.5301449,-81.8348856
Olde Hickory Verandas Spa,14500 Hickory Hill Court,Fort Myers,5/8/19,26.53058539,-81.80432111
Esplanade Spa,24384 Baltic Avenue,Punta Gorda,5/9/19,26.7699274,-82.0429153
Suns Condos Pool,2950 Royal Palm Avenue,Fort Myers,5/6/19,26.6236821,-81.8633867
Summerwind At Gateway Spa,12030 Summergate Circle,Fort Myers,1/15/19,26.564002,-81.7578006
Captiva Shores Condo Pool,15411 Captiva Drive,Captiva,4/18/19,26.5167587,-82.1912362
Outrigger Beach Resort Pool,6200 Estero Boulevard,Fort Myers Beach,4/17/19,26.4227744,-81.9059494
"Joewood Bath and Tennis Club, Inc. Pool (East End Amenities Pool)",4980 Joewood Drive,Sanibel,4/18/19,26.45713626,-82.14768863
Summerwind At Gateway Spa,12030 Summergate Circle,Fort Myers,4/17/19,26.564002,-81.7578006
Butterknife Subdivision Pool,136 Butterknife Place,Sanibel,9/18/18,26.46138341,-82.10235652
Signal Inn Spa,1811 Olde Middle Gulf Drive,Sanibel,9/18/18,26.4277747,-82.061051
Signal Inn Condo Pool,1811 Olde Middle Gulf Drive,Sanibel,9/18/18,26.4277747,-82.061051
Bayshore Commons Pool,15111 Caspian Tern Court,North Fort Myers,9/18/18,26.694378,-81.851356
Coronado Condo Pool,11259 Bienvenida Way,Fort Myers,8/22/18,26.5335632,-81.9333472
Riviera Club Condo Spa,7500 Estero Boulevard,Fort Myers Beach,8/22/18,26.4092729,-81.8990898
Harbour Links Spa,14332 Harbour Links Court,Fort Myers,8/21/18,26.5313665,-81.9360556
Fort Myers Beach Family Pool,2600 Oak Street,Fort Myers Beach,9/21/18,26.4486904,-81.9407566
Waterstone Capital Croix Pool,1901 Linhart Avenue,Fort Myers,11/29/18,26.6252748,-81.8734566
